ct,lengths
699,134
700,131
701,118
702,49
703,134
704,139
705,138
706,138
707,124
708,111
709,140
710,136
711,138
712,121
713,127
714,137
715,118
716,144
717,113
718,57
719,75
720,137
721,137
722,125
723,137
724,137
725,103
726,114
727,139
728,133
729,138
730,81
731,55
732,79
733,112
734,140
735,139
736,132
737,138
738,140
739,76
740,134
741,129
742,140
743,138
744,140
745,138
746,140
747,138
748,41
749,42
750,134
751,23
752,86
753,67
754,111
755,127
756,110
757,68
758,133
759,75
760,134
761,107
762,103
763,86
764,119
765,136
766,121
767,139
768,140
769,138
770,130
771,129
772,114
773,139
774,96
775,131
776,139
777,137
778,133
779,137
780,139
781,84
782,130
783,67
784,104
785,139
786,140
787,112
788,137
789,130
790,140
791,87
792,140
793,139
794,139
795,108
796,111
797,127
798,50
799,135
800,138
801,144
802,139
803,114
804,129
805,94
806,140
807,142
808,116
809,119
810,137
811,117
812,37
813,57
814,120
815,116
816,134
817,138
818,77
819,82
820,135
821,49
822,84
823,141
824,134
825,89
826,84
827,110
828,121
829,139
830,88
831,60
832,65
833,143
834,109
835,140
836,129
837,136
838,120
839,140
840,122
841,108
842,107
843,53
844,140
845,126
846,139
847,140
848,139
849,134
850,115
851,133
852,135
853,102
854,143
855,136
856,144
857,136
858,77
859,133
860,61
861,59
862,73
863,57
864,136
865,134
866,48
867,139
868,76
869,144
870,137
871,72
872,77
873,78
874,72
875,96
876,71
877,134
878,75
879,71
880,65
881,119
882,114
883,109
884,139
885,139
886,140
887,136
888,59
889,104
890,76
891,78
892,128
893,130
894,76
895,140
896,53
897,98
898,74
899,82
900,140
901,77
902,135
903,88
904,140
905,53
906,139
907,131
908,53
909,74
910,67
911,85
912,65
913,57
914,121
915,132
916,142
917,79
918,73
919,127
920,97
921,140
922,122
923,107
924,103
925,105
926,119
927,135
928,138
929,140
930,139
931,139
932,142
933,135
934,92
935,67
936,98
937,131
938,80
939,116
940,110
941,114
942,116
943,115
944,77
945,144
946,137
947,82
948,138
949,117
950,110
951,125
952,106
953,108
954,132
955,138
956,140
957,135
958,62
959,126
960,95
961,94
962,50
963,133
964,49
965,90
966,40
967,89
968,137
969,140
970,139
971,75
972,108
973,129
974,137
975,134
976,124
977,92
978,136
979,54
980,53
981,49
982,113
983,93
984,87
985,140
986,136
987,124
988,95
989,57
990,58
991,110
992,56
993,131
994,138
995,132
996,109
997,95
998,133
999,114
1000,72
1001,117
1002,89
1003,140
1004,95
1005,91
1006,124
1007,144
1008,59
1009,137
1010,140
1011,57
1012,140
1013,139
1014,134
1015,109
1016,130
1017,140
1018,140
1019,131
1020,128
1021,143
1022,133
1023,136
1024,134
1025,113
1026,122
1027,86
1028,110
1029,136
1030,140
1031,136
1032,95
1033,140
1034,137
1035,142
1036,96
1037,127
1038,123
1039,109
1040,140
1041,126
1042,111
1043,96
1044,134
1045,56
1046,111
1047,138
1048,140
1049,67
1050,122
1051,117
1052,90
